ID,parent_ID,cuisine,quantity,calories,allergens,name,description,createdAt,createdBy,modifiedAt,modifiedBy
15801097-bfe9-4a04-9b2e-edc888eec88f,27620751-820c-41bc-8310-7f9fe9da62f3,Asian,89,450,"Soy (miso, soy sauce), Gluten, Sesame",Asian Soup Meal,"Taiwanese hot pot with momo",2011-04-20T18:30:00.000Z,createdBy.9eo7d@example.com,2001-09-17T18:30:00.000Z,modifiedBy.9eo7d@example.org
15801098-fe80-49c3-a67e-5ad20cc17e14,27620751-820c-41bc-8310-7f9fe9da62f3,Chinese,78,550,"Soy, Gluten, Eggs, Peanuts, Sesame",Chinese Veg Combo,"Manchow noodles, veg manchurian and miso soup",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
5ae0539c-15c6-4684-9660-6aec417f07eb,27620752-c44b-407d-9615-929a039c88ec,Continental,44,478,"Soy, Nuts (if pesto or dressings), Gluten",Veg Combo,"Steak, veggies and hummus",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
cc67b411-f4e2-4cfe-9f1e-2fd903e3af53,27620752-c44b-407d-9615-929a039c88ec,Continental,40,700,"Gluten, Milk, Soy (in sauces), Yeast",Pizza,"Mozarella cheese and veggies",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
d003b37f-5ced-473f-ab47-683ecd7afdb2,27620752-c44b-407d-9615-929a039c88ec,Continental,56,550,"Gluten, Milk, Eggs (in fresh pasta), Soy",Pasta,"White sauce pasta",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
649d3202-0ed8-4d73-99b2-4c1cad662f25,3fdf85f8-31e7-4dff-8e29-ab04f6465dd1,Indian,85,950,"Gluten (roti), Milk (gulab jamun, cream), Nuts (cashew pastes), Spices",Non Veg Combo,"Dal, pulao, roti, chicken curry and gulab jamun",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
678f9e1d-9290-466a-8bae-38ea590e9b70,3fdf85f8-31e7-4dff-8e29-ab04f6465dd1,Indian,78,780,"Milk, Gluten, Nuts (cashew gravy), Spices",Veg Combo,"Dal, pulao, roti, paneer curry, gulab jamun",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
f631dd17-17a1-4c01-a30d-4280c7709ed0,b5b0e1cc-c649-472c-8ca6-dec1bf283131,Indian,110,550,"Milk, Legumes, Spices, Possible peanuts (if chutneys)",Grain bowl,"Millets and Dal",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
05cf15d7-e288-4134-827b-07851273f7d5,c5467055-617c-4ba2-9f42-279a313395df,Indian,110,890,"Dairy (ghee, curd), Nuts, Spices",Non Veg Biryani,"Hyderbadi Biryani, raita and gulab jamun",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
84397875-a36a-46c6-8653-05e2c3577961,c5467055-617c-4ba2-9f42-279a313395df,Indian,85,790,"Dairy (ghee, curd), Nuts, Spices",Veg Biryani,"Paneer Biryani, raita and gulab jamun",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
bc1b55fc-a311-42dc-8a0c-f70649fb816c,2312af14-7b65-4d27-a16a-63e9f27b19b0,Indian,25,350,"Milk, Mustard seeds, Spices",Curd Rice,"-",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
7b8401ba-540a-41f4-8a2a-222fd8688828,2312af14-7b65-4d27-a16a-63e9f27b19b0,Indian,25,300,"Rare (may contain nuts or honey)",Fruit Bowl,"Mango, Watermelon, Banana and Dates",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
26be558d-eff8-42c3-a9a9-cb3832638e68,2312af14-7b65-4d27-a16a-63e9f27b19b0,Indian,25,300,"Gluten, Milk, Eggs, Soy, Nuts",Sandwich,"Cheese spread",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
b1487dca-658f-477d-beeb-c6804677fdf5,2312af14-7b65-4d27-a16a-63e9f27b19b0,Indian,25,400,"Gluten, Milk, Eggs (in mayo), Spices",Katti Roll,"Egg, onions and mayonise",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
ac433c9f-a698-438b-bab7-a79df2de6d52,cb7478d1-3ac7-4c1b-8752-8d35da851f29,Indian,25,400,"Milk (dal makhani, halwa), Gluten (chapati), Nuts (in halwa), Spices",Veg Combo,"Rice, chapati, dal makhani, rasam, salad, halwa",2012-02-05T18:30:00.000Z,createdBy.9eo7e@example.com,2013-03-27T18:30:00.000Z,modifiedBy.9eo7e@example.net
